Close,Open,High,Low,Volume,Change,ADX,aroondown,aroonup,BOP,CCI,CMO,DX,MFI,PPO,ROC,RSI,slowk,slowd,fastk,fastd,ULTOSC,WILLR
310.4,292.0,315.9,291.3,120700.0,0.0633,63.06092786231725,0.0,100.0,0.7479674796747968,171.7048560016821,70.5786749155484,82.69094657189582,80.90593955611925,4.956676481376815,21.773244409572378,85.2893374577742,79.18233152518019,75.81970957698154,89.56356736242884,70.02231065397187,57.03350864514201,-8.100147275405009
290.4,310.4,310.9,276.9,146850.0,-0.0647,62.237055148490086,0.0,92.85714285714286,-0.5882352941176471,72.94277006434115,32.68670922267795,51.52670986873695,66.76143447777456,5.3399038556257965,13.703993735317145,66.34335461133898,76.13682985994714,76.73033187540379,49.803149606299165,67.36883269141427,54.49173301118787,-40.15748031496065
287.0,290.4,297.0,285.2,60620.0,-0.011699999999999999,61.47203048565058,21.42857142857143,85.71428571428572,-0.28813559322033677,44.57142857142866,27.501442486129818,51.52670986873697,58.484648408750694,5.764352110330755,10.172744721689053,63.75072124306491,72.47136085910623,75.93017408141121,41.02040816326535,64.0151253793437,51.87879763689286,-45.51181102362204
283.4,287.0,292.9,283.2,59580.0,-0.0123,60.47220600961482,14.285714285714286,78.57142857142857,-0.3711340206185595,17.947720553912795,22.062263324094236,47.4744878211501,58.543893281179635,6.043386166094507,4.9241021843761335,61.03113166204711,67.80282378495791,72.13700483467045,16.666666666666668,55.59053364063091,49.46158553685762,-51.18110236220475
276.6,283.4,290.8,273.3,121320.0,-0.0241,58.22946811917378,7.142857142857143,71.42857142857143,-0.38857142857142596,-36.5671641791048,12.315734674578472,29.07387554344029,53.960181440748215,6.06336004032706,2.7870680044593144,56.15786733728923,57.251868559311745,65.84201773445865,7.74647887323947,40.960054134379924,46.48412752600685,-61.88976377952752
279.6,276.6,280.8,271.2,62120.0,0.011000000000000001,55.89142685934747,0.0,64.28571428571429,0.3124999999999993,-75.56580050293424,15.520646973816085,25.496890481605387,52.51410332795871,5.816431829798708,5.033809166040593,57.760323486908035,45.20806094228475,56.754251095518164,21.15869017632251,27.27907869715866,47.71027635644424,-58.079999999999956
274.0,279.6,282.5,243.2,55340.0,-0.0199,52.629636630125766,100.0,57.142857142857146,-0.1424936386768453,-158.0433023067585,7.613620706027755,10.226363650243618,48.59686617352339,5.565323072636692,2.010424422933732,53.80681035301388,41.712734446817464,48.05755464947135,57.24907063197026,28.76826290229288,53.15709955261946,-57.63411279229709
273.2,274.0,277.1,271.9,30200.0,-0.0032,49.60083141727704,92.85714285714286,50.0,-0.1538461538461547,-78.25620868322339,6.492226981033272,10.22636365024361,47.7862385222042,5.337590586209343,1.5235971757710853,53.246113490516635,39.06819156213335,41.99632898374522,60.36217303822939,32.636615877285685,49.032361216167516,-58.734525447042635
277.7,273.2,278.9,271.8,46600.0,0.0165,46.624748507518476,85.71428571428572,42.85714285714286,0.6338028169014115,-50.74640049465573,12.044383072133384,7.935670680657149,45.642888771452874,5.061189143922955,-2.0803949224259655,56.02219153606669,38.959250709313544,39.91339223942148,72.47899159663862,43.79908086328008,52.53329834489092,-52.54470426409903
275.1,277.7,281.0,274.2,49050.0,-0.009300000000000001,43.66506248258879,78.57142857142857,35.714285714285715,-0.38235294117646496,-33.109477952356414,8.052353927708808,5.189144158502841,49.97928817199828,4.760754559705979,-5.787671232876701,54.0261769638544,41.21703133931395,39.74815787025364,81.17048346055985,58.48388178074415,53.310553790847216,-56.121045392021955
276.5,275.1,277.4,273.1,41970.0,0.005,41.01261609266316,71.42857142857143,28.571428571428573,0.32558139534883535,-32.86573146292591,9.91359337628467,6.530813023630001,45.83774228431467,4.045467615047755,-10.921391752577314,54.95679668814234,44.154057771664405,41.44344660676399,84.73282442748092,71.19870863097583,57.43614770850437,-54.19532324621731
275.5,276.5,277.9,274.5,35660.0,-0.0034000000000000002,38.497282355041484,64.28571428571429,21.42857142857143,-0.2941176470588255,-12.471131639723358,8.228362648869691,5.797943765959731,45.232108582481644,3.178092486906677,-5.130853994490348,54.11418132443485,44.56671251719398,43.312600542724134,40.21739130434775,67.79237276545133,61.8982705162776,-55.57083906464922
288.4,275.5,289.8,274.3,74360.0,0.0466,36.4660898362555,57.142857142857146,14.285714285714286,0.8322580645161276,179.47561319425006,24.343334544739868,10.060587092037702,42.80862741685181,1.9389947683109037,0.4878048780487809,62.17166727236994,49.66664567159512,46.12913865348452,92.22222222222203,74.16438260224986,64.02480167448293,-37.82668500687758
288.7,288.4,291.2,284.7,41650.0,0.0013,34.69971252388159,50.0,7.142857142857143,0.046153846153847905,183.57010500308908,24.67460197226215,11.736807463020735,42.484989698898175,1.4367695820602404,1.8701482004234382,62.33730098613107,57.090084665678866,50.441147618156,86.18784530386738,76.90615334369562,59.51178342811316,-37.414030261347996
291.8,288.7,293.3,286.8,30990.0,0.0105,33.243763112746215,42.85714285714286,0.0,0.47692307692308045,133.03092783505258,28.174345767119135,14.31642076798638,35.84764264820291,1.1908070897147323,5.495300072306586,64.08717288355956,67.71549134887367,58.1574072287159,92.57425742574257,79.18690813673217,62.21302044957993,-28.212703101920187
293.0,291.8,295.8,285.4,69710.0,0.0042,32.112851939894725,35.714285714285715,0.0,0.11538461538461392,104.34782608695672,29.53907776962181,17.41100669282534,48.82360723919873,0.9830631926388781,4.792560801144474,64.76953888481091,77.48991721484717,67.43183107646658,86.97674418604646,79.63569208844527,62.759687793656816,-7.434944237918214
